NO;KODE_PTN;NAMA_PTN;KODE_PRODI;NAMA_PRODI;JENJANG;DAYA_TAMPUNG_2026;PEMINAT_2025;JENIS_PORTOFOLIO
1;1111;UNIVERSITAS SYIAH KUALA;11111001;PENDIDIKAN DOKTER HEWAN;Sarjana;72;334;Tidak Ada
2;1111;UNIVERSITAS SYIAH KUALA;11111002;TEKNIK SIPIL;Sarjana;84;515;Tidak Ada
3;1111;UNIVERSITAS SYIAH KUALA;11111003;TEKNIK MESIN;Sarjana;36;282;Tidak Ada
4;1111;UNIVERSITAS SYIAH KUALA;11111004;TEKNIK KIMIA;Sarjana;54;225;Tidak Ada
5;1111;UNIVERSITAS SYIAH KUALA;11111005;ARSITEKTUR;Sarjana;48;259;Tidak Ada
6;1111;UNIVERSITAS SYIAH KUALA;11111006;TEKNIK ELEKTRO;Sarjana;48;299;Tidak Ada
7;1111;UNIVERSITAS SYIAH KUALA;11111007;AGROTEKNOLOGI;Sarjana;36;252;Tidak Ada
8;1111;UNIVERSITAS SYIAH KUALA;11111008;AGRIBISNIS;Sarjana;48;348;Tidak Ada
9;1111;UNIVERSITAS SYIAH KUALA;11111009;PETERNAKAN;Sarjana;44;125;Tidak Ada
10;1111;UNIVERSITAS SYIAH KUALA;11111010;TEKNOLOGI PANGAN DAN HASIL PERTANIAN;Sarjana;48;180;Tidak Ada
11;1111;UNIVERSITAS SYIAH KUALA;11111011;TEKNIK PERTANIAN;Sarjana;42;239;Tidak Ada
12;1111;UNIVERSITAS SYIAH KUALA;11111012;PENDIDIKAN BIOLOGI;Sarjana;36;271;Tidak Ada
13;1111;UNIVERSITAS SYIAH KUALA;11111013;PENDIDIKAN MATEMATIKA;Sarjana;36;297;Tidak Ada
14;1111;UNIVERSITAS SYIAH KUALA;11111014;PENDIDIKAN FISIKA;Sarjana;36;95;Tidak Ada
15;1111;UNIVERSITAS SYIAH KUALA;11111015;PENDIDIKAN KIMIA;Sarjana;36;132;Tidak Ada
16;1111;UNIVERSITAS SYIAH KUALA;11111016;PENDIDIKAN DOKTER;Sarjana;75;1147;Tidak Ada
17;1111;UNIVERSITAS SYIAH KUALA;11111017;ILMU KEPERAWATAN;Sarjana;108;1343;Tidak Ada
18;1111;UNIVERSITAS SYIAH KUALA;11111018;PENDIDIKAN DOKTER GIGI;Sarjana;30;664;Tidak Ada
19;1111;UNIVERSITAS SYIAH KUALA;11111019;MATEMATIKA;Sarjana;24;91;Tidak Ada
20;1111;UNIVERSITAS SYIAH KUALA;11111020;FISIKA;Sarjana;24;29;Tidak Ada
21;1111;UNIVERSITAS SYIAH KUALA;11111021;KIMIA;Sarjana;24;120;Tidak Ada
22;1111;UNIVERSITAS SYIAH KUALA;11111022;BIOLOGI;Sarjana;24;166;Tidak Ada
23;1111;UNIVERSITAS SYIAH KUALA;11111023;ILMU KELAUTAN;Sarjana;48;152;Tidak Ada
24;1111;UNIVERSITAS SYIAH KUALA;11111024;BUDIDAYA PERAIRAN;Sarjana;48;76;Tidak Ada
25;1111;UNIVERSITAS SYIAH KUALA;11111025;TEKNIK INDUSTRI;Sarjana;36;455;Tidak Ada
26;1111;UNIVERSITAS SYIAH KUALA;11111026;INFORMATIKA;Sarjana;36;959;Tidak Ada
27;1111;UNIVERSITAS SYIAH KUALA;11111027;FARMASI;Sarjana;27;1311;Tidak Ada
28;1111;UNIVERSITAS SYIAH KUALA;11111028;TEKNIK GEOFISIKA;Sarjana;24;88;Tidak Ada
29;1111;UNIVERSITAS SYIAH KUALA;11111029;TEKNIK PERTAMBANGAN;Sarjana;36;662;Tidak Ada
30;1111;UNIVERSITAS SYIAH KUALA;11111030;STATISTIKA;Sarjana;36;270;Tidak Ada
31;1111;UNIVERSITAS SYIAH KUALA;11111031;PEMANFAATAN SUMBERDAYA PERIKANAN;Sarjana;36;50;Tidak Ada
32;1111;UNIVERSITAS SYIAH KUALA;11111032;ILMU TANAH;Sarjana;36;67;Tidak Ada
33;1111;UNIVERSITAS SYIAH KUALA;11111033;TEKNIK GEOLOGI;Sarjana;24;206;Tidak Ada
34;1111;UNIVERSITAS SYIAH KUALA;11111034;AGROTEKNOLOGI (PSDKU GAYO LUES);Sarjana;12;15;Tidak Ada
